縣市名稱,縣市代碼,事務所名稱,事務所代碼,鄉鎮市區名稱,鄉鎮市區代碼
高雄市,E,鹽埕,EA,鹽埕區,01,
高雄市,E,鹽埕,EA,鼓山區,02,
高雄市,E,楠梓,EE,左營區,03,
高雄市,E,楠梓,EE,楠梓區,04,
高雄市,E,三民,ED,三民區,05,
高雄市,E,新興,EB,新興區,06,
高雄市,E,鹽埕,EA,前金區,07,
高雄市,E,新興,EB,苓雅區,08,
高雄市,E,前鎮,EC,前鎮區,09,
高雄市,E,鹽埕,EA,旗津區,10,
高雄市,E,前鎮,EC,小港區,11,
高雄市,E,鳳山,EG,鳳山區,12,
高雄市,E,大寮,EL,林園區,13,
高雄市,E,大寮,EL,大寮區,14,
高雄市,E,鳳山,EG,大樹區,15,
高雄市,E,仁武,EI,大社區,16,
高雄市,E,仁武,EI,仁武區,17,
高雄市,E,仁武,EI,鳥松區,18,
高雄市,E,岡山,EF,岡山區,19,
高雄市,E,岡山,EF,橋頭區,20,
高雄市,E,岡山,EF,燕巢區,21,
高雄市,E,路竹,EJ,田寮區,22,
高雄市,E,路竹,EJ,阿蓮區,23,
高雄市,E,路竹,EJ,路竹區,24,
高雄市,E,路竹,EJ,湖內區,25,
高雄市,E,路竹,EJ,茄萣區,26,
高雄市,E,岡山,EF,永安區,27,
高雄市,E,岡山,EF,彌陀區,28,
高雄市,E,岡山,EF,梓官區,29,
高雄市,E,旗山,EH,旗山區,30,
高雄市,E,美濃,EK,美濃區,31,
高雄市,E,美濃,EK,六龜區,32,
高雄市,E,旗山,EH,甲仙區,33,
高雄市,E,旗山,EH,杉林區,34,
高雄市,E,旗山,EH,內門區,35,
高雄市,E,美濃,EK,茂林區,36,
高雄市,E,美濃,EK,桃源區,37,
高雄市,E,旗山,EH,那瑪夏區,38,
